INSTITUTION,EACITY,EASTATE,EASTATECODE,EASTARTYEAR,EASTARTMONTH,EASTARTQUARTER,EASTARTYQ,EATERMINATIONYEAR,EATERMINATIONMONTH,EATERMINATIONQUARTER,EATERMINATIONYQ,EATYPE,CHARTERNUMBER,COMPANYNAME,INDIVIDUAL,LOCATION,AMOUNT,STARTDATE,STARTDOCUMENT,TERMINATIONDATE,TERMINATIONDOCUMENT,DOCKETNUMBER
"First Charter Bank, N.A.",Beverly Hills,California,CA,1993,7,3,19933,1994,6,2,19942,Prompt Corrective Action Directives,17731,,,"Beverly Hills, CA",0,7/15/1993 12:00:00 AM -04:00,93-383,6/3/1994 12:00:00 AM -04:00,94-271,
"First Charter Bank, National Association",Beverly Hills,California,CA,2001,6,2,20012,2001,10,4,20014,Formal Agreements,17731,,,"Beverly Hills, CA",0,6/6/2001 12:00:00 AM -04:00,2001-38,10/8/2001 12:00:00 AM -04:00,,
"First Citizens Bank of Polson, National Association",Polson,Montana,MT,2010,11,4,20104,,,,,Cease & Desist Orders,24670,,,"Polson, MT",0,11/9/2010 12:00:00 AM -05:00,2010-223,,,AA-EC-10-115
"First Citizens Bank of Polson, National Association",Polson,Montana,MT,2008,9,3,20083,2010,11,4,20104,Formal Agreements,24670,,,"Polson, MT",0,9/17/2008 12:00:00 AM -04:00,2008-117,11/9/2010 12:00:00 AM -05:00,2010-223,
"First Citizens Bank, National Association",Columbia Falls,Montana,MT,2005,6,2,20052,2006,9,3,20063,Formal Agreements,21259,,,"Columbia Falls, MT",0,6/9/2005 12:00:00 AM -04:00,2005-84,9/7/2006 12:00:00 AM -04:00,2006-119,
"First Citizens National Bank of Upper Sandusky, The",Upper Sandusky,Ohio,OH,1991,10,4,19914,,,,,Bank Civil Money Penalties,18783,,,"Upper Sandusky, OH",10000,10/22/1991 12:00:00 AM -04:00,398,,,AA-CD-91-168
"First City, Texas - Austin, National Association",Austin,Texas,TX,1991,4,2,19912,1992,10,4,19924,Formal Agreements,14728,,,"Austin, TX",0,4/15/1991 12:00:00 AM -04:00,214,10/31/1992 12:00:00 AM -05:00,,
"First City, Texas - Houston, N.A.",Houston,Texas,TX,1992,1,1,19921,,,,,Bank Civil Money Penalties,13943,,,"Houston, TX",50000,1/17/1992 12:00:00 AM -05:00,1000,,,AA-SCP-92-04
"First City, Texas - Houston, N.A.",Houston,Texas,TX,1992,1,1,19921,1992,10,4,19924,Securities Enforcement Actions,13943,,,"Houston, TX",0,1/17/1992 12:00:00 AM -05:00,1000,10/31/1992 12:00:00 AM -05:00,,AA-SCP-92-04
"First City, Texas - Houston, National Association",Houston,Texas,TX,1991,4,2,19912,1992,10,4,19924,Formal Agreements,13943,,,"Houston, TX",0,4/12/1991 12:00:00 AM -04:00,216,10/31/1992 12:00:00 AM -05:00,,
"First City, Texas - San Antonio, National Association",San Antonio,Texas,TX,1991,4,2,19912,1992,10,4,19924,Formal Agreements,17941,,,"San Antonio, TX",0,4/9/1991 12:00:00 AM -04:00,215,10/31/1992 12:00:00 AM -05:00,,
"First Colorado Bank Of Pueblo, N.A.",Pueblo,Colorado,CO,1990,7,3,19903,,,,,Bank Civil Money Penalties,17108,,,"Pueblo, CO",2100,7/17/1990 12:00:00 AM -04:00,102,,,AA-EC-90-113
"First Commercial Bank, N.A.",Seguin,Texas,TX,1999,8,3,19993,2004,5,2,20042,Formal Agreements,17862,,,"Seguin, TX",0,8/16/1999 12:00:00 AM -04:00,99-66,5/5/2004 12:00:00 AM -04:00,2004-62,
"First Commercial Bank, N.A.",Seguin,Texas,TX,1992,1,1,19921,1993,6,2,19932,Cease & Desist Orders,17862,,,"Seguin, TX",0,1/24/1992 12:00:00 AM -05:00,448,6/2/1993 12:00:00 AM -04:00,93-171,
"First Community Bank, N.A.",Alice,Texas,TX,2001,11,4,20014,2002,6,2,20022,Formal Agreements,17619,,,"Alice, TX",0,11/21/2001 12:00:00 AM -05:00,2001-107,6/15/2002 12:00:00 AM -04:00,,
