INSTITUTION,EACITY,EASTATE,EASTATECODE,EASTARTYEAR,EASTARTMONTH,EASTARTQUARTER,EASTARTYQ,EATERMINATIONYEAR,EATERMINATIONMONTH,EATERMINATIONQUARTER,EATERMINATIONYQ,EATYPE,CHARTERNUMBER,COMPANYNAME,INDIVIDUAL,LOCATION,AMOUNT,STARTDATE,STARTDOCUMENT,TERMINATIONDATE,TERMINATIONDOCUMENT,DOCKETNUMBER
"Firstmerit Bank, National Association",Akron,Ohio,OH,2006,11,4,20064,2008,2,1,20081,Cease & Desist Orders,14579,,,"Akron, OH",0,11/20/2006 12:00:00 AM -05:00,2006-134,2/1/2008 12:00:00 AM -05:00,2008-066,
Flagship National Bank,Bradenton,Florida,FL,2008,11,4,20084,2009,10,4,20094,Formal Agreements,23764,,,"Bradenton, FL",0,11/20/2008 12:00:00 AM -05:00,2008-153,10/23/2009 12:00:00 AM -04:00,,
"Flagstar Bank, FSB",Troy,Michigan,MI,2016,10,4,20164,,,,,Bank Civil Money Penalties,708412,,,"Troy, MI",500000,10/31/2016 12:00:00 AM -04:00,2016-095,,,AA-EC-2016-75
"Flagstar Bank, FSB",Troy,Michigan,MI,2012,10,4,20124,2016,12,4,20164,Cease & Desist Orders,708412,,,"Troy, MI",0,10/23/2012 12:00:00 AM -04:00,2012-230,12/19/2016 12:00:00 AM -05:00,2017-073,
"Flagstar Bank, FSB",Troy,Michigan,MI,2010,1,1,20101,2012,10,4,20124,Formal Agreements,708412,,,"Troy, MI",0,1/27/2010 12:00:00 AM -05:00,SA,10/23/2012 12:00:00 AM -04:00,2012-246,
Flatbush FS & LA,Brooklyn,New York,NY,2012,4,2,20122,,,,,Formal Agreements,703444,,,"Brooklyn, NY",0,4/12/2012 12:00:00 AM -04:00,2012-099,,,
Fleet National Bank,Boston,Massachusetts,MA,2001,3,1,20011,,,,,Securities Enforcement Actions,200,,Andrew Evenden,"Boston, MA",0,3/26/2001 12:00:00 AM -05:00,2001-45,,,AA-SCP-00-28
"Flemington National Bank and Trust Company, The",Flemington,New Jersey,NJ,1991,10,4,19914,1994,3,1,19941,Formal Agreements,2331,,,"Flemington, NJ",0,10/16/1991 12:00:00 AM -04:00,385,3/30/1994 12:00:00 AM -05:00,,
Flint River National Bank,Camilla,Georgia,GA,2012,3,1,20121,2014,12,4,20144,Cease & Desist Orders,24505,,,"Camilla, GA",0,3/22/2012 12:00:00 AM -04:00,2012-093,12/31/2014 12:00:00 AM -05:00,,
Flint River National Bank,Camilla,Georgia,GA,2010,1,1,20101,2012,3,1,20121,Formal Agreements,24505,,,"Camilla, GA",0,1/14/2010 12:00:00 AM -05:00,2010-025,3/22/2012 12:00:00 AM -04:00,2012-082,
"Florida Capital Bank, National Association",Jacksonville,Florida,FL,2010,9,3,20103,2016,3,1,20161,Capital Directive,20214,,,"Jacksonville, FL",0,9/1/2010 12:00:00 AM -04:00,2010-167,3/8/2016 12:00:00 AM -05:00,2016-041,AA-EC-10-81
"Florida Capital Bank, National Association",Jacksonville,Florida,FL,2009,3,1,20091,2017,2,1,20171,Formal Agreements,20214,,,"Jacksonville, FL",0,3/26/2009 12:00:00 AM -04:00,2009-038,2/16/2017 12:00:00 AM -05:00,2017-022,
"FNB Bank, National Association",Danville,Pennsylvania,PA,2014,7,3,20143,,,,,Cease & Desist Orders,325,,,"Danville, PA",0,7/14/2014 12:00:00 AM -04:00,2014-085,,,AA-EC-2104-68
"FNB Bank, National Association",Danville,Pennsylvania,PA,2013,9,3,20133,,,,,Bank Civil Money Penalties,325,,,"Danville, PA",43120,9/18/2013 12:00:00 AM -04:00,2013-211,,,AA-EC-13-56
"Forrest City Bank, National Association",Forrest City,Arkansas,AR,2011,4,2,20112,2017,4,2,20172,Cease & Desist Orders,23195,,,"Forrest City, AR",0,4/25/2011 12:00:00 AM -04:00,2011-079,4/6/2017 12:00:00 AM -04:00,2017-039,
"Forrest City Bank, National Association",Forrest City,Arkansas,AR,2010,2,1,20101,2011,4,2,20112,Formal Agreements,23195,,,"Forrest City, AR",0,2/17/2010 12:00:00 AM -05:00,2010-048,4/25/2011 12:00:00 AM -04:00,2011-089,
"Forrest City Bank, National Association",Forrest City,Arkansas,AR,2003,8,3,20033,2007,2,1,20071,Formal Agreements,23195,,,"Forrest City, AR",0,8/5/2003 12:00:00 AM -04:00,2003-102,2/16/2007 12:00:00 AM -05:00,2007-046,
Fort Knox National Bank,Fort Knox,Kentucky,KY,1991,12,4,19914,1992,9,3,19923,Formal Agreements,14894,,,"Fort Knox, KY",0,12/20/1991 12:00:00 AM -05:00,180,9/2/1992 12:00:00 AM -04:00,720,
Fort Knox National Bank,Radcliff,Kentucky,KY,2006,4,2,20062,,,,,Bank Civil Money Penalties,14894,,,"Radcliff, KY",700,4/10/2006 12:00:00 AM -04:00,2006-31,,,
"Fort Lee Federal Savings Bank, FSB",Fort Lee,New Jersey,NJ,2012,3,1,20121,2012,4,2,20122,Prompt Corrective Action Directives,716832,,,"Fort Lee, NJ",0,3/15/2012 12:00:00 AM -04:00,2012-077,4/20/2012 12:00:00 AM -04:00,,AA-EC-12-41
"Fort Lee Federal Savings Bank, FSB",Fort Lee,New Jersey,NJ,2014,10,4,20144,2016,1,1,20161,Notices Filed,716832,,Haralambos Kostakopoulos,"Fort Lee, NJ",0,10/8/2014 12:00:00 AM -04:00,N14-003,1/27/2016 12:00:00 AM -05:00,2016-123,AA-EC-15-47
"Fort Lee Federal Savings Bank, FSB",Fort Lee,New Jersey,NJ,2014,10,4,20144,2016,1,1,20161,Notices Filed,716832,,Yasemin Kostakopoulous,"Fort Lee, NJ",0,10/8/2014 12:00:00 AM -04:00,N14-003,1/27/2016 12:00:00 AM -05:00,2016-123,AA-EC-15-48
Founders National Bank Of Los Angeles,Los Angeles,California,CA,1993,12,4,19934,1994,11,4,19944,Cease & Desist Orders,22394,,,"Los Angeles, CA",0,12/30/1993 12:00:00 AM -05:00,93-324,11/7/1994 12:00:00 AM -05:00,94-183,
Founders National Bank of Los Angeles,Los Angeles,California,CA,2000,5,2,20002,2001,4,2,20012,Cease & Desist Orders,22394,,,"Los Angeles, CA",0,5/23/2000 12:00:00 AM -04:00,2000-56,4/30/2001 12:00:00 AM -04:00,,
Founders Trust National Bank,Sioux Falls,South Dakota,SD,1999,4,2,19992,2000,7,3,20003,Cease & Desist Orders,22915,,,"Sioux Falls, SD",0,4/19/1999 12:00:00 AM -04:00,99-28,7/19/2000 12:00:00 AM -04:00,2000-68,
Founders Trust National Bank,Sioux Falls,South Dakota,SD,1999,3,1,19991,2000,7,3,20003,Formal Agreements,22915,,,"Sioux Falls, SD",0,3/25/1999 12:00:00 AM -05:00,99-18,7/19/2000 12:00:00 AM -04:00,2000-68,
Founders Trust National Bank,Sioux Falls,South Dakota,SD,2000,7,3,20003,2001,3,1,20011,Cease & Desist Orders,22915,,,"Sioux Falls, SD",0,7/19/2000 12:00:00 AM -04:00,2000-68,3/30/2001 12:00:00 AM -05:00,,AA-EC-00-36
Foxboro National Bank,Foxboro,Massachusetts,MA,1991,7,3,19913,1993,4,2,19932,Formal Agreements,9426,,,"Foxboro, MA",0,7/24/1991 12:00:00 AM -04:00,327,4/7/1993 12:00:00 AM -04:00,93-377,
"Franklin Community Bank, National Association",Rocky Mount,Virginia,VA,2009,4,2,20092,2013,8,3,20133,Formal Agreements,24260,,,"Rocky Mount, VA",0,4/16/2009 12:00:00 AM -04:00,2009-051,8/8/2013 12:00:00 AM -04:00,2013-137,
Franklin National Bank,Mt. Vernon,Texas,TX,2003,1,1,20031,2004,7,3,20043,Formal Agreements,17055,,,"Mt. Vernon, TX",0,1/23/2003 12:00:00 AM -05:00,2003-175,7/23/2004 12:00:00 AM -04:00,,
Franklin National Bank of Virginia,Alexandria,Virginia,VA,1991,7,3,19913,1995,9,3,19953,Formal Agreements,21765,,,"Alexandria, VA",0,7/11/1991 12:00:00 AM -04:00,366,9/13/1995 12:00:00 AM -04:00,95-68,
"Freedom Bank, N.A.",Dublin,Texas,TX,1991,12,4,19914,1993,8,3,19933,Cease & Desist Orders,4865,,,"Dublin, TX",0,12/3/1991 12:00:00 AM -05:00,439,8/18/1993 12:00:00 AM -04:00,93-379,AA-EC-90-73-75
"Freedom Bank, N.A.",Hamilton,Texas,TX,1991,12,4,19914,1993,9,3,19933,Cease & Desist Orders,11800,,,"Hamilton, TX",0,12/3/1991 12:00:00 AM -05:00,442,9/16/1993 12:00:00 AM -04:00,93-341,AA-EC-90-73-75
"Freedom Bank, N.A.",Glen Rose,Texas,TX,1991,12,4,19914,1993,6,2,19932,Cease & Desist Orders,13170,,,"Glen Rose, TX",0,12/3/1991 12:00:00 AM -05:00,441,6/15/1993 12:00:00 AM -04:00,93-170,AA-EC-90-73-75
Freedom National Bank,Greenville,Rhode Island,RI,2010,3,1,20101,2015,7,3,20153,Formal Agreements,24257,,,"Greenville, RI",0,3/4/2010 12:00:00 AM -05:00,2010-059,7/15/2015 12:00:00 AM -04:00,2015-102,
Fremont First National Bank,Seattle,Washington,WA,1999,4,2,19992,1999,8,3,19993,Safety and Soundness Orders,22662,,,"Seattle, WA",0,4/30/1999 12:00:00 AM -04:00,99-46,8/4/1999 12:00:00 AM -04:00,99-126,
Frontier Bank,Rock Rapids,Iowa,IA,2011,7,3,20113,2012,12,4,20124,Cease & Desist Orders,712117,,,"Rock Rapids, IA",0,7/18/2011 12:00:00 AM -04:00,CN 11-29,12/7/2012 12:00:00 AM -05:00,2012-270,
Frontier Bank,Rock Rapids,Iowa,IA,2010,3,1,20101,2012,12,4,20124,Cease & Desist Orders,712117,,,"Rock Rapids, IA",0,3/22/2010 12:00:00 AM -04:00,CN 10-11,12/7/2012 12:00:00 AM -05:00,2012-270,
"Frontier Bank, FSB",Palm Desert,California,CA,2011,3,1,20111,2014,11,4,20144,Cease & Desist Orders,714979,,,"Palm Desert, CA",0,3/7/2011 12:00:00 AM -05:00,WN 11-008,11/7/2014 12:00:00 AM -05:00,,
"Frontier Bank, N.A.",La Palma,California,CA,1993,3,1,19931,1996,8,3,19963,Cease & Desist Orders,17767,,,"La Palma, CA",0,3/30/1993 12:00:00 AM -05:00,93-71,8/8/1996 12:00:00 AM -04:00,96-47,
"Frost National Bank of San Antonio, The",San Antonio,Texas,TX,1991,4,2,19912,1993,1,1,19931,Formal Agreements,5179,,,"San Antonio, TX",0,4/16/1991 12:00:00 AM -04:00,217,1/19/1993 12:00:00 AM -05:00,93-393,
"FSGBank, National Association",Chattanooga,Tennessee,TN,2010,4,2,20102,2014,3,1,20141,Cease & Desist Orders,24425,,,"Chattanooga, TN",0,4/28/2010 12:00:00 AM -04:00,2010-106,3/10/2014 12:00:00 AM -04:00,2014-045,AA-EC-10-38
"FSGBank, National Association",Chattanooga,Tennessee,TN,2005,2,1,20051,,,,,Bank Civil Money Penalties,24425,,,"Chattanooga, TN",4250,2/23/2005 12:00:00 AM -05:00,2005-32,,,
Fullerton National Bank,Fullerton,Nebraska,NE,2004,9,3,20043,2005,8,3,20053,Cease & Desist Orders,5384,,,"Fullerton, NE",0,9/21/2004 12:00:00 AM -04:00,2004-121,8/4/2005 12:00:00 AM -04:00,2005-123,
"Fulton Bank, National Association",Lancaster,Pennsylvania,PA,2014,7,3,20143,,,,,Cease & Desist Orders,24891,,,"Lancaster, PA",0,7/14/2014 12:00:00 AM -04:00,2014-086,,,AA-EC-2014-67
"Fulton Bank, National Association",Lancaster,Pennsylvania,PA,2013,9,3,20133,,,,,Bank Civil Money Penalties,24891,,,"Lancaster, PA",135000,9/18/2013 12:00:00 AM -04:00,2013-167,,,AA-EC-13-55
"Gateway Bank, F.S.B.",San Francisco,California,CA,2011,10,4,20114,,,,,Cease & Desist Orders,708857,,,"San Francisco, CA",0,10/26/2011 12:00:00 AM -04:00,2011-163,,,AA-EC-11-90
"Gateway Bank, F.S.B.",San Francisco,California,CA,2009,4,2,20092,2011,10,4,20114,Cease & Desist Orders,708857,,,"San Francisco, CA",0,4/24/2009 12:00:00 AM -04:00,WN-09-0007,10/26/2011 12:00:00 AM -04:00,2011-163,
Gateway National Bank,Dallas,Texas,TX,1989,12,4,19894,1994,3,1,19941,Formal Agreements,17164,,,"Dallas, TX",0,12/11/1989 12:00:00 AM -05:00,853,3/15/1994 12:00:00 AM -05:00,94-78,
Gateway National Bank,Phoenix,Arizona,AZ,1989,9,3,19893,1990,2,1,19901,Cease & Desist Orders,21023,,,"Phoenix, AZ",0,9/8/1989 12:00:00 AM -04:00,6,2/15/1990 12:00:00 AM -05:00,,
Gateway National Bank Of  St. Louis,St. Louis,Missouri,MO,1993,5,2,19932,1996,7,3,19963,Formal Agreements,15521,,,"St. Louis, MO",0,5/20/1993 12:00:00 AM -04:00,93-147,7/2/1996 12:00:00 AM -04:00,96-39,
Gateway National Bank of St. Louis,St. Louis,Missouri,MO,2003,6,2,20032,2003,12,4,20034,Formal Agreements,15521,,,"St. Louis, MO",0,6/20/2003 12:00:00 AM -04:00,2003-104,12/5/2003 12:00:00 AM -05:00,,
Gateway National Bank of St. Louis,St. Louis,Missouri,MO,2000,10,4,20004,2003,6,2,20032,Formal Agreements,15521,,,"St. Louis, MO",0,10/27/2000 12:00:00 AM -04:00,2000-95,6/20/2003 12:00:00 AM -04:00,2003-104,
Gateway National Bank of St. Louis,St. Louis,Missouri,MO,2000,3,1,20001,2000,11,4,20004,Formal Agreements,15521,,,"St. Louis, MO",0,3/24/2000 12:00:00 AM -05:00,2000-33,11/8/2000 12:00:00 AM -05:00,2000-110,
Gcf Bank,Washington Township,New Jersey,NJ,2012,9,3,20123,2014,1,1,20141,Formal Agreements,700940,,,"Washington Township, NJ",0,9/20/2012 12:00:00 AM -04:00,2012-252,1/10/2014 12:00:00 AM -05:00,,AA-NEDO-2012-123
Gibraltar Bank,Oak Ridge,New Jersey,NJ,2016,2,1,20161,,,,,Formal Agreements,704804,,,"Oak Ridge, NJ",0,2/3/2016 12:00:00 AM -05:00,2016-023,,,AA-NE-2016-15
Gibraltar Private Bank & Trust Co.,Coral Gables,Florida,FL,2016,2,1,20161,,,,,Bank Civil Money Penalties,708007,,,"Coral Gables, FL",2500000,2/23/2016 12:00:00 AM -05:00,2016-018,,,
Gibraltar Private Bank & Trust Co.,Coral Gables,Florida,FL,2014,10,4,20144,2017,6,2,20172,Cease & Desist Orders,708007,,,"Coral Gables, FL",0,10/16/2014 12:00:00 AM -04:00,2014-128,6/26/2017 12:00:00 AM -04:00,2017-049,AA-EC-2014-13
Gibraltar Private Bank & Trust Co.,Coral Gables,Florida,FL,2010,10,4,20104,2014,10,4,20144,Cease & Desist Orders,708007,,,"Coral Gables, FL",0,10/15/2010 12:00:00 AM -04:00,SE 10-046,10/16/2014 12:00:00 AM -04:00,2014-128,AA-EC-2014-13
Gladewater National Bank,Gladewater,Texas,TX,1991,12,4,19914,1993,8,3,19933,Cease & Desist Orders,17290,,,"Gladewater, TX",0,12/12/1991 12:00:00 AM -05:00,419,8/10/1993 12:00:00 AM -04:00,93-242,
Gladewater National Bank,Gladewater,Texas,TX,2009,6,2,20092,2011,4,2,20112,Formal Agreements,17290,,,"Gladewater, TX",0,6/17/2009 12:00:00 AM -04:00,2009-093,4/26/2011 12:00:00 AM -04:00,2011-092,
Gladewater National Bank,Gladewater,Texas,TX,2003,7,3,20033,2006,7,3,20063,Formal Agreements,17290,,,"Gladewater, TX",0,7/31/2003 12:00:00 AM -04:00,2003-176,7/5/2006 12:00:00 AM -04:00,2006-106,
Glendale National Bank Of New Jersey,Voorhees Township,New Jersey,NJ,1993,2,1,19931,1994,9,3,19943,Formal Agreements,16164,,,"Voorhees Township, NJ",0,2/1/1993 12:00:00 AM -05:00,May-93,9/21/1994 12:00:00 AM -04:00,94-265,
Global Payments Inc,Atlanta,Georgia,GA,1999,8,3,19993,1999,11,4,19994,Formal Agreements,601243,"Global Payment Systems, LLC (Atlanta, GA)",,"Atlanta, GA",0,8/24/1999 12:00:00 AM -04:00,99-61,11/30/1999 12:00:00 AM -05:00,99-95,
"Gold Country Bank, National Association",Marysville,California,CA,2004,11,4,20044,2010,4,2,20102,Formal Agreements,20862,,,"Marysville, CA",0,11/10/2004 12:00:00 AM -05:00,2004-134,4/30/2010 12:00:00 AM -04:00,2010-179,
Gold Country National Bank,Brownsville,California,CA,2001,5,2,20012,2002,9,3,20023,Formal Agreements,20862,,,"Brownsville, CA",0,5/24/2001 12:00:00 AM -04:00,2001-43,9/26/2002 12:00:00 AM -04:00,2002-91,
Gold Country National Bank,Brownsville,California,CA,2000,9,3,20003,2002,9,3,20023,Formal Agreements,20862,,,"Brownsville, CA",0,9/7/2000 12:00:00 AM -04:00,2000-81,9/26/2002 12:00:00 AM -04:00,2002-91,
Gold Country National Bank,Brownsville,California,CA,1998,9,3,19983,1998,11,4,19984,Formal Agreements,20862,,,"Brownsville, CA",0,9/29/1998 12:00:00 AM -04:00,98-54,11/30/1998 12:00:00 AM -05:00,98-83,
"Golden Bank, National Association",Houston,Texas,TX,2010,1,1,20101,2013,9,3,20133,Formal Agreements,18558,,,"Houston, TX",0,1/20/2010 12:00:00 AM -05:00,2010-060,9/20/2013 12:00:00 AM -04:00,2013-158,
"Golden Pacific Bank, National Association",Sacramento,California,CA,2016,7,3,20163,2016,9,3,20163,Notices Filed,20862,,Kirk N. Dowdell,"Sacramento, CA",0,7/11/2016 12:00:00 AM -04:00,N16-004,9/21/2016 12:00:00 AM -04:00,2016-120,
"Goldwater Bank, National Association",Scottsdale,Arizona,AZ,2010,5,2,20102,2015,9,3,20153,Cease & Desist Orders,24671,,,"Scottsdale, AZ",0,5/11/2010 12:00:00 AM -04:00,2010-092,9/18/2015 12:00:00 AM -04:00,2015-110,AA-EC-10-32
Goleta National Bank,Goleta,California,CA,2002,10,4,20024,,,,,Bank Civil Money Penalties,21699,,,"Goleta, CA",75000,10/28/2002 12:00:00 AM -05:00,2002-93,,,AA-EC-02-18
Goleta National Bank,Goleta,California,CA,2002,10,4,20024,2003,10,4,20034,Cease & Desist Orders,21699,,,"Goleta, CA",0,10/28/2002 12:00:00 AM -05:00,2002-93,10/21/2003 12:00:00 AM -04:00,2003-129,AA-EC-02-18
Goleta National Bank,Goleta,California,CA,2000,3,1,20001,2002,10,4,20024,Formal Agreements,21699,,,"Goleta, CA",0,3/23/2000 12:00:00 AM -05:00,2000-31,10/30/2002 12:00:00 AM -05:00,2002-110,
"Grand Bank, National Association",Hamilton,New Jersey,NJ,2015,11,4,20154,,,,,Cease & Desist Orders,24268,,,"Hamilton, NJ",0,11/23/2015 12:00:00 AM -05:00,2015-123,,,AA-NE-2015-98
"Grand Bank, National Association",Hamilton,New Jersey,NJ,2011,10,4,20114,,,,,Cease & Desist Orders,24268,,,"Hamilton, NJ",0,10/25/2011 12:00:00 AM -04:00,2011-152,,,
"Grand Bank, National Association",Hamilton,New Jersey,NJ,2009,8,3,20093,2011,10,4,20114,Formal Agreements,24268,,,"Hamilton, NJ",0,8/4/2009 12:00:00 AM -04:00,2009-126,10/25/2011 12:00:00 AM -04:00,2011-152,
"Granite Community Bank, National Association",Granite Bay,California,CA,2008,7,3,20083,2010,5,2,20102,Formal Agreements,24289,,,"Granite Bay, CA",0,7/21/2008 12:00:00 AM -04:00,2008-081,5/28/2010 12:00:00 AM -04:00,,
Granite National Bank,Bowling Green,Ohio,OH,2000,8,3,20003,2002,12,4,20024,Cease & Desist Orders,23585,,,"Bowling Green, OH",0,8/3/2000 12:00:00 AM -04:00,2000-67,12/9/2002 12:00:00 AM -05:00,2002-138,
Granite National Bank,Bowling Green,Ohio,OH,2001,6,2,20012,2003,9,3,20033,Cease & Desist Orders,23585,,,"Bowling Green, OH",0,6/21/2001 12:00:00 AM -04:00,2001-44,9/12/2003 12:00:00 AM -04:00,,
Grayson National Bank,Independence,Virginia,VA,2011,8,3,20113,2015,4,2,20152,Formal Agreements,10834,,,"Independence, VA",0,8/9/2011 12:00:00 AM -04:00,2011-124,4/29/2015 12:00:00 AM -04:00,2015-057,
"Great Lakes Bank, National Association",Blue Island,Illinois,IL,2011,4,2,20112,2012,6,2,20122,Formal Agreements,12779,,,"Blue Island, IL",0,4/5/2011 12:00:00 AM -04:00,2011-068,6/19/2012 12:00:00 AM -04:00,2012-147,
Great Plains National Bank,Elk City,Oklahoma,OK,2013,12,4,20134,,,,,Bank Civil Money Penalties,23049,,,"Elk City, OK",11925,12/3/2013 12:00:00 AM -05:00,2013-200,,,AA-SO-2013-88
Great Plains National Bank,Elk City,Oklahoma,OK,2010,5,2,20102,,,,,Bank Civil Money Penalties,23049,,,"Elk City, OK",3000,5/10/2010 12:00:00 AM -04:00,2010-113,,,
"Greenchoice Bank, FSB",Chicago,Illinois,IL,2012,6,2,20122,2014,7,3,20143,Cease & Desist Orders,701638,,,"Chicago, IL",0,6/27/2012 12:00:00 AM -04:00,2012-156,7/25/2014 12:00:00 AM -04:00,,AA-EC-12-75
"Greenchoice Bank, FSB",Chicago,Illinois,IL,2009,11,4,20094,2012,6,2,20122,Cease & Desist Orders,701638,,,"Chicago, IL",0,11/20/2009 12:00:00 AM -05:00,CN 09-42,6/27/2012 12:00:00 AM -04:00,2012-156,
"Greeneville Federal Bank, FSB",Greeneville,Tennessee,TN,2011,7,3,20113,2015,1,1,20151,Cease & Desist Orders,706518,,,"Greeneville, TN",0,7/1/2011 12:00:00 AM -04:00,SE 11-002,1/13/2015 12:00:00 AM -05:00,2015-045,
Greensboro National Bank,Greensboro,North Carolina,NC,1992,2,1,19921,1995,9,3,19953,Formal Agreements,15912,,,"Greensboro, NC",0,2/19/1992 12:00:00 AM -05:00,477,9/29/1995 12:00:00 AM -04:00,,
Guaranty Bank,Milwaukee,Wisconsin,WI,2017,5,2,20172,2017,5,2,20172,Prompt Corrective Action Directives,717936,,,"Milwaukee, WI",0,5/4/2017 12:00:00 AM -04:00,2017-034,5/5/2017 12:00:00 AM -04:00,,AA-EC-2017-13
Guaranty Bank,Milwaukee,Wisconsin,WI,2017,2,1,20171,2017,5,2,20172,Prompt Corrective Action Directives,717936,,,"Milwaukee, WI",0,2/28/2017 12:00:00 AM -05:00,2017-020,5/5/2017 12:00:00 AM -04:00,,
Guaranty Bank,Milwaukee,Wisconsin,WI,2014,4,2,20142,2017,2,1,20171,Prompt Corrective Action Directives,717936,,,"Milwaukee, WI",0,4/1/2014 12:00:00 AM -04:00,2014-035,2/28/2017 12:00:00 AM -05:00,2017-020,AA-EC-14-33
Guaranty Bank,Milwaukee,Wisconsin,WI,2009,3,1,20091,2017,2,1,20171,Cease & Desist Orders,717936,,,"Milwaukee, WI",0,3/11/2009 12:00:00 AM -04:00,CN 09-05,2/28/2017 12:00:00 AM -05:00,2017-020,
Guaranty National Bank Of Tallahassee,Tallahassee,Florida,FL,1996,3,1,19961,1999,2,1,19991,Formal Agreements,21162,,,"Tallahassee, FL",0,3/7/1996 12:00:00 AM -05:00,96-27,2/10/1999 12:00:00 AM -05:00,Dec-99,
Guaranty National Bank of Tallahassee,Tallahassee,Florida,FL,2003,7,3,20033,,,,,Bank Civil Money Penalties,21162,,,"Tallahassee, FL",25000,7/10/2003 12:00:00 AM -04:00,2003-81,,,
Guaranty National Bank of Tallahassee,Tallahassee,Florida,FL,2003,5,2,20032,2004,3,1,20041,Cease & Desist Orders,21162,,,"Tallahassee, FL",0,5/2/2003 12:00:00 AM -04:00,2003-37,3/12/2004 12:00:00 AM -05:00,,
Guaranty National Bank of Tallahassee,Tallahassee,Florida,FL,2002,1,1,20021,2003,5,2,20032,Formal Agreements,21162,,,"Tallahassee, FL",0,1/25/2002 12:00:00 AM -05:00,2-Feb,5/2/2003 12:00:00 AM -04:00,2003-37,
Hacienda National Bank,Santa Maria,California,CA,1993,6,2,19932,1993,6,2,19932,Cease & Desist Orders,21519,,,"Santa Maria, CA",0,6/29/1993 12:00:00 AM -04:00,93-391,6/29/1993 12:00:00 AM -04:00,93-391,
Hacienda National Bank,Santa Maria,California,CA,1993,2,1,19931,1996,6,2,19962,Formal Agreements,21519,,,"Santa Maria, CA",0,2/18/1993 12:00:00 AM -05:00,93-19,6/19/1996 12:00:00 AM -04:00,96-48,
"Hamilton Bank, National Association",Miami,Florida,FL,2000,9,3,20003,2002,1,1,20021,Cease & Desist Orders,17675,,,"Miami, FL",0,9/8/2000 12:00:00 AM -04:00,2000-77,1/11/2002 12:00:00 AM -05:00,,
Hamilton National Bank,Hamilton,Texas,TX,1991,5,2,19912,1993,8,3,19933,Cease & Desist Orders,4451,,,"Hamilton, TX",0,5/3/1991 12:00:00 AM -04:00,245,8/31/1993 12:00:00 AM -04:00,,
"Harbor Bank, N.A.",Gig Harbor,Washington,WA,2001,6,2,20012,2002,5,2,20022,Formal Agreements,23218,,,"Gig Harbor, WA",0,6/1/2001 12:00:00 AM -04:00,2001-42,5/10/2002 12:00:00 AM -04:00,2002-55,
"Harbor Bank, National Association",Gig Harbor,Washington,WA,2002,5,2,20022,2002,10,4,20024,Cease & Desist Orders,23218,,,"Gig Harbor, WA",0,5/10/2002 12:00:00 AM -04:00,2002-52,10/1/2002 12:00:00 AM -04:00,,
Harbor Capital National Bank,Rockville,Maryland,MD,2002,5,2,20022,2003,10,4,20034,Formal Agreements,23850,,,"Rockville, MD",0,5/6/2002 12:00:00 AM -04:00,2002-46,10/29/2003 12:00:00 AM -05:00,2003-132,
Harbor National Bank,Branford,Connecticut,CT,1990,11,4,19904,,,,,Bank Civil Money Penalties,20620,,,"Branford, CT",3300,11/13/1990 12:00:00 AM -05:00,1040,,,
Harbor National Bank Of Connecticut,Branford,Connecticut,CT,1990,7,3,19903,1990,7,3,19903,Cease & Desist Orders,20620,,,"Branford, CT",0,7/16/1990 12:00:00 AM -04:00,97,7/16/1990 12:00:00 AM -04:00,,
"Harrington Bank, FSB",Chapel Hill,North Carolina,NC,2012,12,4,20124,,,,,Formal Agreements,717910,,,"Chapel Hill, NC",0,12/17/2012 12:00:00 AM -05:00,2012-279,,,AA-NE-2012-158
"Harrington Bank, FSB",Chapel Hill,North Carolina,NC,2010,11,4,20104,2012,12,4,20124,Cease & Desist Orders,717910,,,"Chapel Hill, NC",0,11/23/2010 12:00:00 AM -05:00,SE-10-056,12/17/2012 12:00:00 AM -05:00,2012-279,
"Heartland Bank, N.A.",Jewell,Kansas,KS,1998,5,2,19982,2000,1,1,20001,Cease & Desist Orders,22956,,,"Jewell, KS",0,5/18/1998 12:00:00 AM -04:00,98-28,1/20/2000 12:00:00 AM -05:00,2000-46,
"Heartland Bank, National Association",Jewell,Kansas,KS,2000,9,3,20003,2001,8,3,20013,Formal Agreements,22956,,,"Jewell, KS",0,9/26/2000 12:00:00 AM -04:00,2000-85,8/22/2001 12:00:00 AM -04:00,2001-75,
"Heartland Bank, National Association",Jewell,Kansas,KS,1997,8,3,19973,2000,9,3,20003,Formal Agreements,22956,,,"Jewell, KS",0,8/14/1997 12:00:00 AM -04:00,97-51,9/26/2000 12:00:00 AM -04:00,2000-93,
Heartland National Bank,Herrin,Illinois,IL,1998,6,2,19982,1999,6,2,19992,Formal Agreements,23075,,,"Herrin, IL",0,6/3/1998 12:00:00 AM -04:00,98-31,6/18/1999 12:00:00 AM -04:00,,
Heartland National Bank,Sebring,Florida,FL,2011,4,2,20112,2014,8,3,20143,Formal Agreements,23773,,,"Sebring, FL",0,4/14/2011 12:00:00 AM -04:00,2011-066,8/22/2014 12:00:00 AM -04:00,2014-122,
Helena National Bank,Helena,Arkansas,AR,1992,4,2,19922,1994,5,2,19942,Formal Agreements,14429,,,"Helena, AR",0,4/22/1992 12:00:00 AM -04:00,515,5/16/1994 12:00:00 AM -04:00,94-92,
